ACTIONID,Count,高危機.死亡,TIPVDA,X1.4.5.6,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,家暴因素.不良嗜好.賭博.出入不正當場所,家暴因素.個性.生活習慣不合,家暴因素.其他,家暴因素.子女教養問題,家暴因素.性生活不協調,家暴因素.感情.外遇問題,家暴因素.施用毒品.禁藥或迷幻物品,家暴因素.照顧壓力,家暴因素.疑似或罹患精神疾病,家暴因素.經濟狀況不佳,家暴因素.親屬間相處問題,家暴因素.財務問題,家暴因素.財務支配或借貸問題,家暴因素.酗酒,成人家庭暴力兩造關係,被害人婚姻狀態,暴力型態.性暴力,暴力型態.精神暴力,暴力型態.經濟暴力,暴力型態.肢體暴力,使用武器,施暴武器說明,自殺意念,自殺行為,受暴持續總月數,求助時間差.小時,MAIMED,AGE,OCCUPATION,EDUCATION,lng,lat,district,town,Count_plus
DV00712544,1,0,5,3,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,電風扇,0,0,36,27,1,40,服務業,5,121.5746187,25.050417,松山區,慈祐里,1
DV00702089,1,0,7,2,0,0,0,1,0,1,0,0,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,6,2,0,1,0,1,0,,0,0,12,3,1,32,其他,5,121.5172794,25.1068937,北投區,文林里,1
DV00596583,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,109,1,49,商業,5,121.5399118,25.0668994,中山區,行仁里,1
DV00584607,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,NA,,NA,NA,0,8803,1,38,,7,121.5033142,25.1194706,北投區,立農里,1
DV00665594,1,1,11,4,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,1,0,,0,0,36,719,2,30,家庭管理,9,121.501036,25.1279128,北投區,清江里,1
DV00727392,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,0,8,1,38,不詳,3,121.504933,25.026106,萬華區,新和里,1
DV00674710,1,0,5,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,,0,0,2,58,1,43,專門職業,9,121.5222782,25.1145719,北投區,榮華里,1
DVP0193837,1,1,11,3,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,0,0,0,,0,0,14,15,1,41,服務業,5,121.4899471,25.0320086,萬華區,華江里,1
DI00404952,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,傘,0,0,396,107,1,60,退休,6,121.547382,24.988224,文山區,試院里,1
DV00721127,1,0,6,2,1,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,12,30,3,45,,5,121.5856368,25.0754748,內湖區,紫陽里,1
DVP0185109,1,1,11,4,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,鐵槌,0,0,48,241,1,40,服務業,6,121.5011261,25.1255181,北投區,清江里,1
DI00410172,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,2,0,1,0,1,0,,0,0,0,23,1,70,無工作,4,121.543831,25.0250097,大安區,群賢里,1
DVP0150797,1,0,4,3,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,1,0,,0,0,6,5,1,33,服務業,9,121.5253782,25.0673896,中山區,圓山里,1
DV00643403,1,1,7,4,1,1,0,1,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,30,1,22,學生,5,121.536154,25.0678119,中山區,行孝里,1
DV00576786,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,76,1,37,服務業,9,121.5018551,25.0399275,萬華區,富民里,1
DVP0178183,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,電風扇,0,0,1,1,1,65,無工作,7,121.5478713,25.0053736,文山區,興旺里,1
DVP0198963,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,,0,0,0,11,1,39,專門職業,3,121.6190088,25.040641,南港區,舊莊里,1
DV00702983,1,0,4,2,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,,0,0,12,3,1,25,家庭管理,9,121.5466828,25.0500624,松山區,中正里,1
DVP0165774,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0,,0,0,1,2,1,52,,3,121.5985043,25.088041,內湖區,大湖里,1
DI00408650,1,0,7,2,0,1,0,0,1,1,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,12,4,1,1,0,1,0,,NA,NA,0,33,1,31,不詳,9,121.5462773,25.0299602,大安區,龍雲里,1
DV00705165,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,,0,0,0,161,1,51,家庭管理,3,121.5285978,25.1243234,北投區,永欣里,1
DV00677165,1,0,4,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,,0,0,24,18,1,31,,9,121.546083,24.9872109,文山區,試院里,1
DVP0187480,1,0,6,3,0,0,0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,,0,0,84,85,1,45,家庭管理,7,121.536439,25.022867,大安區,龍門里,1
DV00722847,1,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,0,0,1,0,,0,0,0,17,1,32,無工作,3,121.56287,25.0878646,內湖區,西安里,1
