"","ACTIONID","Count","predict","group","district","town"
"2837","DV00702983",1,1.58378095238095,1,"松山區","中正里"
"2839","DV00703123",1,1.70837171717172,1,"南港區","萬福里"
"2849","DV00704141",1,1.55278046814297,1,"南港區","合成里"
"2859","DV00704388",1,1.61336210494931,1,"中山區","劍潭里"
"2861","DV00704654",1,1.67575757575758,1,"南港區","百福里"
"2871","DV00705393",1,1.5444619047619,1,"中正區","龍興里"
"2874","DV00705654",1,1.6945,1,"中正區","幸福里"
"2917","DV00709228",1,1.5859,1,"內湖區","碧山里"
"2922","DV00709407",1,1.5503766590389,1,"南港區","成福里"
"2928","DV00710130",1,1.79341992351957,1,"內湖區","湖元里"
"2944","DV00711151",1,1.7295610451675,1,"大安區","龍圖里"
"2964","DV00712294",1,1.58653371489622,1,"大同區","老師里"
"2971","DV00712689",1,1.50044599486304,1,"中正區","新營里"
"2987","DV00714062",1,1.52528764568765,1,"信義區","景新里"
"2991","DV00714423",1,1.67701416626851,1,"大安區","法治里"
"3025","DV00716804",1,1.63256666666667,1,"南港區","新光里"
"3052","DV00720228",1,1.5650740563784,1,"大同區","老師里"
"3065","DV00721158",1,1.60301633337423,1,"大安區","大學里"
"3113","DV00724731",1,1.93481689029153,1,"中正區","幸福里"
"3124","DV00725316",1,1.6781253968254,1,"信義區","松友里"
"3131","DV00726110",1,1.5634,1,"文山區","順興里"
"3134","DV00726477",1,1.56341666666667,1,"文山區","萬有里"
"3136","DV00726805",1,1.5170534760015,1,"中山區","中山里"
"3148","DVP0136667",1,1.52737168264235,1,"北投區","八仙里"
"3157","DVP0137154",1,1.5828,1,"北投區","振華里"
"3159","DVP0137299",1,1.56959291819292,1,"大安區","福住里"
"3164","DVP0137462",1,1.52976251167134,1,"信義區","景新里"
"3166","DVP0137509",1,1.59273372434018,1,"中山區","朱崙里"
"3183","DVP0138151",1,1.51111261516261,1,"大安區","新龍里"
"3193","DVP0138392",1,1.51342990251636,1,"大同區","光能里"
"3196","DVP0138535",1,1.61939152350917,1,"北投區","立農里"
"3223","DVP0139394",1,1.55533799348799,1,"大安區","民炤里"
"3229","DVP0139769",1,1.63687094610816,1,"松山區","鵬程里"
"3234","DVP0139854",1,1.60453968253968,1,"文山區","萬年里"
"3241","DVP0140028",1,1.5601247403783,1,"內湖區","港都里"
"3272","DVP0141290",1,1.56743530913531,1,"萬華區","銘德里"
"3306","DVP0143205",1,1.53168105478751,1,"松山區","新聚里"
"3319","DVP0143996",1,1.55317777777778,1,"大同區","建泰里"
"3333","DVP0144849",1,1.82165095238095,1,"大安區","龍生里"
"3366","DVP0146305",1,1.52863333333333,1,"內湖區","港墘里"
"3367","DVP0146382",1,1.69773974358974,1,"文山區","樟文里"
"3379","DVP0146784",1,1.60441923076923,1,"大同區","延平里"
